weekday, date, hour, capacity
Monday,14.06.2021,12:15,6
Monday,14.06.2021,12:30,4
Monday,14.06.2021,12:45,1
Monday,14.06.2021,13:00,1
Monday,14.06.2021,13:15,1
Monday,14.06.2021,13:30,1
Monday,14.06.2021,13:45,3
Monday,14.06.2021,14:00,5
Monday,14.06.2021,14:15,6
Monday,14.06.2021,14:30,8
Monday,14.06.2021,14:45,8
Monday,14.06.2021,15:00,8
Monday,14.06.2021,15:15,11
Monday,14.06.2021,15:30,21
Monday,14.06.2021,15:45,23
Monday,14.06.2021,16:00,24
Monday,14.06.2021,16:15,26
Monday,14.06.2021,16:30,30
Monday,14.06.2021,16:45,34
Monday,14.06.2021,17:00,31
Monday,14.06.2021,17:15,34
Monday,14.06.2021,17:30,41
Monday,14.06.2021,17:45,41
Monday,14.06.2021,18:00,43
Monday,14.06.2021,18:15,40
Monday,14.06.2021,18:30,48
Monday,14.06.2021,18:45,55
Monday,14.06.2021,19:00,58
Monday,14.06.2021,19:15,59
Monday,14.06.2021,19:30,64
Monday,14.06.2021,19:45,70
Monday,14.06.2021,20:00,73
Monday,14.06.2021,20:15,65
Monday,14.06.2021,20:30,60
Monday,14.06.2021,20:45,64
Monday,14.06.2021,21:00,54
Monday,14.06.2021,21:15,56
Monday,14.06.2021,21:30,54
Monday,14.06.2021,21:45,49
Monday,14.06.2021,22:00,44
Monday,14.06.2021,22:15,43
Monday,14.06.2021,22:30,43
Monday,14.06.2021,22:45,39
Monday,14.06.2021,23:00,38
Tuesday,15.06.2021,10:00,0
Tuesday,15.06.2021,10:15,0
Tuesday,15.06.2021,10:30,1
Tuesday,15.06.2021,10:45,3
Tuesday,15.06.2021,11:00,3
Tuesday,15.06.2021,11:15,8
Tuesday,15.06.2021,11:30,8
Tuesday,15.06.2021,11:45,8
Tuesday,15.06.2021,12:00,8
Tuesday,15.06.2021,12:15,9
Tuesday,15.06.2021,12:30,6
Tuesday,15.06.2021,12:45,6
Tuesday,15.06.2021,13:00,9
Tuesday,15.06.2021,13:15,8
Tuesday,15.06.2021,13:30,6
Tuesday,15.06.2021,13:45,5
Tuesday,15.06.2021,14:00,3
Tuesday,15.06.2021,14:15,1
Tuesday,15.06.2021,14:30,0
Tuesday,15.06.2021,14:45,3
Tuesday,15.06.2021,15:00,3
Tuesday,15.06.2021,15:15,6
Tuesday,15.06.2021,15:30,6
Tuesday,15.06.2021,15:45,9
Tuesday,15.06.2021,16:00,13
Tuesday,15.06.2021,16:15,24
Tuesday,15.06.2021,16:30,31
Tuesday,15.06.2021,16:45,36
Tuesday,15.06.2021,17:00,41
Tuesday,15.06.2021,17:15,43
Tuesday,15.06.2021,17:30,44
Tuesday,15.06.2021,17:45,39
Tuesday,15.06.2021,18:00,46
Tuesday,15.06.2021,18:15,54
Tuesday,15.06.2021,18:30,60
Tuesday,15.06.2021,18:45,58
Tuesday,15.06.2021,19:00,65
Tuesday,15.06.2021,19:15,65
Tuesday,15.06.2021,19:30,66
Tuesday,15.06.2021,19:45,54
Tuesday,15.06.2021,20:00,56
Tuesday,15.06.2021,20:15,50
Tuesday,15.06.2021,20:30,46
Tuesday,15.06.2021,20:45,48
Tuesday,15.06.2021,21:00,39
Tuesday,15.06.2021,21:15,40
Tuesday,15.06.2021,21:30,40
Tuesday,15.06.2021,21:45,38
Tuesday,15.06.2021,22:00,33
Tuesday,15.06.2021,22:15,31
Tuesday,15.06.2021,22:30,31
Tuesday,15.06.2021,22:45,29
Tuesday,15.06.2021,23:00,29
